id	links	xcoord_p	ycoord_p
97	4	1681286.9827354066	478042.05802401475
98	3	1615975.0993994484	534271.7931708943
99	3	1614975.0802128427	534446.6807804853
100	3	1608059.7380973164	431714.84819188784
101	1	1608539.304162427	431793.734422207
102	1	1686648.5998383292	484601.5984511923
103	3	1641260.0928877967	507488.63023222657
104	3	1648311.3614598531	508775.1457394637
105	1	1648328.0873055465	509026.86691596126
106	3	1694420.9418343469	439918.43938570167
107	1	1692098.2586801406	440589.4305419269
108	2	1703321.955844136	477881.53734237596
110	3	1701101.0175387934	477965.2147500171
111	1	1701019.1447758798	476978.75935827673
112	1	1695691.2242995948	430117.50853706186
113	3	1693431.2615641367	431370.5796128825
114	3	1611410.429154296	429599.73576317535
115	1	1610548.1354156758	428607.07383340516
116	3	1644260.906808733	439644.9983772744
117	3	1643922.5547108327	439640.7598398271
118	1	1643849.2308498144	439362.375071184
119	3	1687294.4511396522	429648.43774068664
120	3	1685199.2706036097	430797.90840917337
121	1	1684421.1722096768	431976.51630038384
122	3	1690512.6156305687	519632.90152021416
123	3	1645987.7163361805	510510.6815391751
124	1	1645786.0184316277	511084.0785734718
125	1	1599870.6904108846	421859.46609681274
126	4	1599626.9312944054	421160.7133645487
127	3	1609218.7551593725	438086.2237510741
128	3	1609390.7384512217	438374.956955749
129	3	1677337.5392244742	499497.66793084843
130	3	1677142.602273626	499393.32803343504
131	3	1676949.02957016	499129.1708152851
132	3	1676760.223608319	499428.834548095
133	3	1672028.8512675867	480599.748274061
134	1	1672501.5209567985	481879.55459785706
135	3	1675034.1472069407	479624.2680167985
136	3	1608756.9640642016	444686.5815479899
137	1	1607838.5121958223	445040.85674354713
138	3	1608994.7468972232	463471.33309248486
139	1	1608748.9951910349	463216.640719466
140	4	1597274.0223077508	455178.56123935536
141	1	1597334.3968964173	455691.7970038175
142	3	1671314.8903868468	454502.9809858686
143	3	1671340.4551722289	456278.39128441387
144	1	1671334.8134931042	456570.39002010087
145	1	1599413.3166684546	421338.1501806096
146	3	1669044.5422157196	490514.1939453204
147	1	1669580.0250382454	492156.6017419767
148	2	1595655.677496706	426978.1426544161
149	3	1650156.4115227393	474710.71283928864
150	3	1649452.57910002	474213.5288683211
151	3	1649642.264606429	473705.82339462184
152	3	1650883.0658182325	474061.72674360214
153	3	1610101.6787591055	452708.74265001895
154	1	1610618.3942674336	453345.979392996
155	3	1598502.313571021	448865.99073808943
156	3	1698144.8528829608	441686.20932650496
157	1	1697864.1221716888	444611.105956894
158	3	1662688.532219539	500518.89449721476
159	1	1661699.2229037615	499957.80877422256
160	3	1667349.3087424305	504452.6133661066
161	4	1655454.8567420747	481169.16342888353
