PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
173	0.734622	-620.945717	-5.991465	0.000000	-4.605170	-534.700046
174	0.734622	-620.945717	-5.991465	0.000000	-4.605170	-534.700046
175	0.734622	2.127477	-5.991465	0.000000	-4.605170	-534.700046
176	0.734622	-620.945717	-5.991465	0.000000	-4.605170	-534.700046
177	0.734622	-620.945717	-5.991465	0.000000	-4.605170	-534.700046
178	0.734622	-620.945717	-5.991465	0.000000	-4.605170	-534.700046
179	0.734622	-620.945717	-5.991465	0.000000	-4.605170	-534.700046
180	0.734622	-620.945717	-5.991465	0.000000	-4.605170	-534.700046
181	0.734622	1.621702	-5.991465	0.000000	-4.605170	-534.700046
182	0.734622	1.384057	-5.991465	0.000000	-4.605170	-534.700046
183	0.734622	-620.945717	-5.991465	0.000000	-4.605170	-534.700046
184	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
185	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
186	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
187	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
188	0.076247	3.189008	-7.244228	0.000000	-6.214608	-586.317320
189	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
190	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
191	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
192	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
193	7.392378	-77.755021	-7.244228	0.000000	-6.214608	-586.317320
194	6.516909	-84.758767	-7.244228	0.000000	-6.214608	-586.317320
195	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
196	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
197	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
198	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
199	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
200	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
201	-0.236695	0.628521	-7.244228	0.000000	-6.214608	-586.317320
202	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
203	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
204	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
205	-0.236695	-137.979758	-7.244228	0.000000	-6.214608	-586.317320
206	5.962431	-159.446769	-7.824046	0.000000	-5.298317	-292.452011
207	6.809729	-152.668385	-7.824046	0.000000	-5.298317	-292.452011
208	6.568567	-154.597681	-7.824046	0.000000	-5.298317	-292.452011
209	5.962431	-159.446769	-7.824046	0.000000	-5.298317	-292.452011
210	5.962431	-159.446769	-7.824046	0.000000	-5.298317	-292.452011
211	5.962431	-159.446769	-7.824046	0.000000	-5.298317	-292.452011
212	5.962431	-159.446769	-7.824046	0.000000	-5.298317	-292.452011
213	-0.051050	2.804254	-7.824046	0.000000	-5.298317	-292.452011
214	6.473256	-155.360166	-7.824046	0.000000	-5.298317	-292.452011
215	-1.632794	-9.110070	-6.684612	0.000000	-4.605170	-45.723195
216	-1.632794	-9.110070	-6.684612	0.000000	-4.605170	-45.723195
217	-1.632794	-9.110070	-6.684612	0.000000	-4.605170	-45.723195
218	0.020099	3.926555	-6.684612	0.000000	-4.605170	-45.723195
219	-1.632794	-9.110070	-6.684612	0.000000	-4.605170	-45.723195
220	-1.632794	-9.110070	-6.684612	0.000000	-4.605170	-45.723195
221	-0.041385	3.294606	-6.684612	0.000000	-4.605170	-45.723195
222	-1.632794	-9.110070	-6.684612	0.000000	-4.605170	-45.723195
223	-0.318528	-3.008671	-7.649693	0.000000	0.000000	-36.841360
224	-0.318528	-1.543824	-7.649693	0.000000	0.000000	-36.841360
225	-0.318528	-3.008671	-7.649693	0.000000	0.000000	-36.841360
226	0.213688	1.851311	-7.649693	0.000000	0.000000	-36.841360
227	-0.318528	-3.008671	-7.649693	0.000000	0.000000	-36.841360
228	-0.318528	-3.008671	-7.649693	0.000000	0.000000	-36.841360
229	-0.318528	-3.008671	-7.649693	0.000000	0.000000	-36.841360
230	-0.318528	-3.008671	-7.649693	0.000000	0.000000	-36.841360
231	-0.318528	-3.008671	-7.649693	0.000000	0.000000	-36.841360
232	-0.318528	-0.754867	-7.649693	0.000000	0.000000	-36.841360
233	0.028873	2.659853	-7.649693	0.000000	0.000000	-36.841360
234	0.000000	0.000000	-7.090077	0.000000	0.000000	-34.027949
235	0.000000	0.000000	-7.090077	0.000000	0.000000	-34.027949
236	-0.979620	0.701645	-7.090077	0.000000	0.000000	-34.027949
237	0.067316	3.581593	-7.090077	0.000000	0.000000	-34.027949
238	-0.146427	0.670163	-7.090077	0.000000	0.000000	-34.027949
239	-0.031088	3.320561	-7.090077	0.000000	0.000000	-34.027949
240	0.000000	0.095438	-7.090077	0.000000	0.000000	-34.027949
241	0.009406	3.269925	-7.090077	0.000000	0.000000	-34.027949
242	0.000000	0.000000	-7.090077	0.000000	0.000000	-34.027949
243	-0.096854	-3.174020	-8.716044	0.000000	-5.703782	-567.364915
244	-0.096854	-4.469992	-8.716044	0.000000	-5.703782	-567.364915
245	-0.096854	-0.874073	-8.716044	0.000000	-5.703782	-567.364915
246	-0.096854	-4.469992	-8.716044	0.000000	-5.703782	-567.364915
247	0.102979	1.310568	-8.716044	0.000000	-5.703782	-567.364915
248	-0.096854	-1.640439	-8.716044	0.000000	-5.703782	-567.364915
249	-0.096854	-4.469992	-8.716044	0.000000	-5.703782	-567.364915
250	-0.096854	-4.469992	-8.716044	0.000000	-5.703782	-567.364915
251	-0.096854	-4.469992	-8.716044	0.000000	-5.703782	-567.364915
252	-0.096854	-4.469992	-8.716044	0.000000	-5.703782	-567.364915
253	-0.096854	-4.469992	-8.716044	0.000000	-5.703782	-567.364915
254	-0.096854	-4.469992	-8.716044	0.000000	-5.703782	-567.364915
255	-0.096854	-4.469992	-8.716044	0.000000	-5.703782	-567.364915
256	-0.096854	-4.469992	-8.716044	0.000000	-5.703782	-567.364915
257	-0.096854	-4.469992	-8.716044	0.000000	-5.703782	-567.364915
258	-0.043128	2.589425	-8.716044	0.000000	-5.703782	-567.364915
259	0.528085	0.612032	-8.716044	0.000000	-5.703782	-567.364915
260	-0.096854	-4.469992	-8.716044	0.000000	-5.703782	-567.364915
261	0.000000	-137.550309	-7.090077	0.000000	-5.703782	-78.165427
262	7.314954	-43.858470	-7.090077	0.000000	-5.703782	-78.165427
263	0.000000	-137.550309	-7.090077	0.000000	-5.703782	-78.165427
264	7.081340	-71.689585	-7.090077	0.000000	-5.703782	-78.165427
265	0.000000	-6.722958	-7.090077	0.000000	-5.703782	-78.165427
266	0.000000	-137.550309	-7.090077	0.000000	-5.703782	-78.165427
267	0.000000	-137.550309	-7.090077	0.000000	-5.703782	-78.165427
268	0.000000	-137.550309	-7.090077	0.000000	-5.703782	-78.165427
269	0.000000	-137.550309	-7.090077	0.000000	-5.703782	-78.165427
270	0.000000	-137.550309	-7.090077	0.000000	-5.703782	-78.165427
